编号,产品名称,类别,返佣比例,Cookie时长,推广链接,中英文支持,备注/亮点
001,YUNWU.AI (云雾API),国内AI中转站,10%（自营）/ 5%–15%（按等级）,30天,https://yunwu.ai/,中英双语,中转站代表，Claude/GPT/Gemini 直连，新人 0.5 元起充，社群体量大
002,CloseAI (closeai-asia),国内AI中转站,10%–20%（一级代理）,30天,https://www.closeai-asia.com/,中英双语,亚洲规模最大企业级中转，支持 Claude Code 满血版，按量计费
003,DMXAPI (dmxapi.cn),国内AI中转站,10%–25%（按月消费阶梯）,30天,https://dmxapi.cn/,中文为主,全模型聚合，含 Claude Code、GPT、Gemini，国内多档位返佣
004,UiUiAPI (sg.uiuiapi.com),国内AI中转站,8%–15%（邀请制）,30天,https://sg.uiuiapi.com/,中文为主,稳定高并发，东南亚节点，企业用得多
005,柏拉图AI (bltcy.ai),国内AI中转站,10%–20%（推广合伙人）,30天,https://wiki.bltcy.ai/,中文为主,一站式大模型聚合，含 Gemini/Claude/GPT，Sora 也支持
006,AnyRouter (anyrouter.top),国内AI中转站,10%–15%（分销）,30天,https://anyrouter.top/,中文,信用卡订阅一站式，价格透明，新人福利多
007,OpenRouter (openrouter.ai),海外AI中转站,$5 推荐/被推荐,未注明,https://openrouter.ai/,英文为主,海外最火模型聚合，按 token 付费
008,Helicone (helicone.ai),AI可观测性,20% 首年,60天,https://www.helicone.ai/,英文,AI 应用的监控+代理，开源
009,MKEAI,国内AI中转站,8%–15%,30天,https://api.mkeai.com/,中文,国内中转，老用户稳定
010,LingTrue (lingtrue.com),国内AI中转站,10%（邀请返佣）,30天,https://www.lingtrue.com/,中文,Claude/Code 满血，开发者圈口碑好
011,钱多多API (aigcbest.top),国内AI中转站,10%–20%,30天,https://api2.aigcbest.top/,中文,NewAPI 套壳，价格低
012,Bifrost (bifrost.io),AI网关/中转,15%–20% 终身,60天,https://bifrost.io/zh-CN/,中英双语,多模型统一网关，开源 + 商业版
013,API2D (api2d.com),国内AI中转站,5%–10%,30天,https://api2d.com/,中文,国内老牌中转，OpenAI 兼容协议
014,OneAPI / NewAPI (开源),开源中转,自营返佣,自定,https://github.com/songquanpeng/one-api,中英,开源自建项目，可自己改分销比例
015,V3 API (api.v3.cm),国内AI中转站,8%–12%,30天,https://api.v3.cm/,中文,GPT-4o/Claude/Gemini，价格便宜
016,API-GPT (api.gpt.ge),国内AI中转站,10%,30天,https://api.gpt.ge/,中文,国内中转，适合个人开发者
017,FastGPT (fastgpt.in),国内AI应用/中转,10%–15%,30天,https://fastgpt.in/,中文,知识库 + 模型一体，企业用得多
018,阿里云百炼 / 通义,国内大模型,返佣最高 25%（云大使）,90天,https://dashi.aliyun.com/activity/ydsai,中文,阿里云官方推荐计划，按订单返现，瓜分万元奖池
019,腾讯云 / 混元大模型,国内大模型,5%–20%（云推客）,90天,https://cloud.tencent.com/act/cps,中文,腾讯云 CPS 计划，混元 + 第三方模型
020,火山引擎 / 豆包,国内大模型,10%–20%（伙伴合作）,90天,https://partner.volcengine.com/,中文,字节系 CPS，含豆包大模型 API
021,百度智能云 / 文心,国内大模型,5%–15%（伙伴中心）,90天,https://cloud.baidu.com/cps,中文,百度云 CPS 计划，文心 + 千帆
022,Kimi (Moonshot),国内AI产品,无公开联盟,—,https://kimi.moonshot.cn/,中文,暂未公开返佣计划，可关注官方动向
023,智谱 AI (zhipu.ai),国内大模型,10%–20%（企业合作）,30天,https://www.zhipu.ai/,中文,GLM 系列，企业级生态合作
024,MiniMax (chat.minimax.com),国内大模型,10%–15%（商务合作）,30天,https://chat.minimax.com/,中文,国内一线大模型，有招商计划
025,DeepSeek (deepseek.com),国内大模型,无公开联盟,—,https://www.deepseek.com/,中文,暂未开放官方返佣
026,MiniMax海螺 AI,国内AI视频/对话,10%–20%（创作者计划）,30天,https://hailuoai.com/,中文,MiniMax 旗下视频生成，对标 Sora
027,字节即梦 AI (jimeng.jianying.com),国内AI视频/图像,10%–15%（创作者激励）,30天,https://jimeng.jianying.com/,中文,剪映团队，图像+视频生成
028,快手可灵 AI (klingai.com),国内AI视频,10%–30%（创作者佣金）,30天,https://klingai.com/,中文,快手可灵，海外 Kling 也有 Commission Share 计划
029,百度文心一格,国内AI图像,10%–15%,30天,https://yige.baidu.com/,中文,图像生成 + API
030,通义万相,国内AI图像,10%–20%（云大使）,30天,https://wanxiang.aliyun.com/,中文,阿里系图像生成
031,讯飞星火 (xfyun.cn),国内大模型,10%–20%（企业合作）,30天,https://www.xfyun.cn/,中文,科大讯飞，含语音+大模型
