编号,产品名称,类别,返佣比例,Cookie时长,推广链接,中英文,备注/亮点
001,YUNWU.AI (云雾API),01-国内AI中转站,10% (自营) / 5%-15% (按等级),30天,https://yunwu.ai/,中英双语,中转站代表 Claude/GPT/Gemini 直连 0.5元起充
002,CloseAI (closeai-asia),01-国内AI中转站,10%-20% (一级代理),30天,https://www.closeai-asia.com/,中英,亚洲最大企业级中转 Claude Code 满血版
003,DMXAPI (dmxapi.cn),01-国内AI中转站,10%-25% (阶梯),30天,https://dmxapi.cn/,中文,全模型聚合含 Claude Code
004,UiUiAPI (sg.uiuiapi.com),01-国内AI中转站,8%-15% (邀请制),30天,https://sg.uiuiapi.com/,中文,稳定高并发东南亚节点
005,柏拉图AI (bltcy.ai),01-国内AI中转站,10%-20% (推广合伙人),30天,https://wiki.bltcy.ai/,中文,一站式大模型聚合含 Sora
006,AnyRouter (anyrouter.top),01-国内AI中转站,10%-15% (分销),30天,https://anyrouter.top/,中文,信用卡订阅一站式
007,OpenRouter (openrouter.ai),01-国内AI中转站,$5 推荐/被推荐,—,https://openrouter.ai/,英文,海外最火模型聚合按 token 付费
008,Helicone (helicone.ai),01-国内AI中转站,20% 首年,60天,https://www.helicone.ai/,英文,AI 应用监控+代理开源
009,MKEAI (api.mkeai.com),01-国内AI中转站,8%-15%,30天,https://api.mkeai.com/,中文,国内中转老用户稳定
010,LingTrue (lingtrue.com),01-国内AI中转站,10% (邀请返佣),30天,https://www.lingtrue.com/,中文,Claude/Code 满血开发者圈口碑好
011,钱多多API (aigcbest.top),01-国内AI中转站,10%-20%,30天,https://api2.aigcbest.top/,中文,NewAPI 套壳价格低
012,Bifrost (bifrost.io),01-国内AI中转站,15%-20% 终身,60天,https://bifrost.io/zh-CN/,中英,多模型统一网关开源+商业版
013,API2D (api2d.com),01-国内AI中转站,5%-10%,30天,https://api2d.com/,中文,国内老牌中转 OpenAI 兼容协议
014,OneAPI / NewAPI (开源),01-国内AI中转站,自营返佣,自定,https://github.com/songquanpeng/one-api,中英,开源自建项目可改分销比例
015,V3 API (api.v3.cm),01-国内AI中转站,8%-12%,30天,https://api.v3.cm/,中文,GPT-4o/Claude/Gemini 价格便宜
016,API-GPT (api.gpt.ge),01-国内AI中转站,10%,30天,https://api.gpt.ge/,中文,国内中转适合个人开发者
017,FastGPT (fastgpt.in),01-国内AI中转站,10%-15%,30天,https://fastgpt.in/,中文,知识库+模型一体企业用得多
018,Replicate (replicate.com),03-海外AI大模型,20% 首年,60天,https://replicate.com/,英文,开源模型 API 市场
019,Together AI (together.ai),03-海外AI大模型,15% 终身,60天,https://www.together.ai/,英文,开源大模型推理
020,Fireworks AI (fireworks.ai),03-海外AI大模型,10%-15%,60天,https://fireworks.ai/,英文,高性能推理
021,阿里云百炼 / 通义,02-国内AI大模型/产品,返佣最高 25% (云大使),90天,https://dashi.aliyun.com/activity/ydsai,中文,阿里云官方推荐按订单返现瓜分万元奖池
