No.,Product,Category,Commission,Cookie,Promo Link,Language,Highlights
001,YUNWU.AI (云雾API),国内AI中转站,10% (自营) / 5%-15% (按等级),30天,https://yunwu.ai/,Chinese+English,relay代表 Claude/GPT/Gemini 直连 0.5元起充
002,CloseAI (closeai-asia),国内AI中转站,10%-20% (一级代理),30天,https://www.closeai-asia.com/,Chinese+English,亚洲最大enterpriserelay Claude Code 满血版
003,DMXAPI (dmxapi.cn),国内AI中转站,10%-25% (阶梯),30天,https://dmxapi.cn/,Chinese,全模型aggregator含 Claude Code
004,UiUiAPI (sg.uiuiapi.com),国内AI中转站,8%-15% (邀请制),30天,https://sg.uiuiapi.com/,Chinese,稳定高并发东南亚节点
005,柏拉图AI (bltcy.ai),国内AI中转站,10%-20% (推广合伙人),30天,https://wiki.bltcy.ai/,Chinese,一站式大模型aggregator含 Sora
006,AnyRouter (anyrouter.top),国内AI中转站,10%-15% (分销),30天,https://anyrouter.top/,Chinese,信用卡subscription一站式
007,OpenRouter (openrouter.ai),海外AI中转站,$5 推荐/被推荐,—,https://openrouter.ai/,English,海外最火模型aggregator按 token paid
008,Helicone (helicone.ai),AI可观测性,20% 首年,60天,https://www.helicone.ai/,English,AI 应用监控+代理open source
009,MKEAI (api.mkeai.com),国内AI中转站,8%-15%,30天,https://api.mkeai.com/,Chinese,国内relay老用户稳定
010,LingTrue (lingtrue.com),国内AI中转站,10% (邀请返佣),30天,https://www.lingtrue.com/,Chinese,Claude/Code 满血开发者圈口碑好
011,钱多多API (aigcbest.top),国内AI中转站,10%-20%,30天,https://api2.aigcbest.top/,Chinese,NewAPI 套壳价格低
012,Bifrost (bifrost.io),AI网关/中转,15%-20% 终身,60天,https://bifrost.io/zh-CN/,Chinese+English,多模型统一网关open source+商业版
013,API2D (api2d.com),国内AI中转站,5%-10%,30天,https://api2d.com/,Chinese,国内老牌relay OpenAI 兼容协议
014,OneAPI / NewAPI (开源),开源中转,自营返佣,自定,https://github.com/songquanpeng/one-api,Chinese+English,open source自建项目可改distribution比例
015,V3 API (api.v3.cm),国内AI中转站,8%-12%,30天,https://api.v3.cm/,Chinese,GPT-4o/Claude/Gemini 价格便宜
016,API-GPT (api.gpt.ge),国内AI中转站,10%,30天,https://api.gpt.ge/,Chinese,国内relay适合个人开发者
017,FastGPT (fastgpt.in),国内AI应用/中转,10%-15%,30天,https://fastgpt.in/,Chinese,知识库+模型一体企业用得多
018,Replicate (replicate.com),AI模型托管,20% 首年,60天,https://replicate.com/,English,open source模型 API 市场
019,Together AI (together.ai),AI推理云,15% 终身,60天,https://www.together.ai/,English,open source大模型推理
020,Fireworks AI (fireworks.ai),AI推理,10%-15%,60天,https://fireworks.ai/,English,高性能推理
021,阿里云百炼 / 通义,国内大模型,返佣最高 25% (云大使),90天,https://dashi.aliyun.com/activity/ydsai,Chinese,阿里云官方推荐按订单返现瓜分万元奖池
022,腾讯云 / 混元,国内大模型,5%-20% (云推客),90天,https://cloud.tencent.com/act/cps,Chinese,腾讯云 CPS 计划混元+第三方模型
023,火山引擎 / 豆包,国内大模型,10%-20% (伙伴合作),90天,https://partner.volcengine.com/,Chinese,字节系 CPS 含豆包大模型 API
024,百度智能云 / 文心,国内大模型,5%-15% (伙伴中心),90天,https://cloud.baidu.com/cps,Chinese,百度云 CPS 文心+千帆
